N,mean_strict_std,mean_soft_std,mean_kt_strict,mean_kt_soft,gap_ci95_width_strict,gap_ci95_width_soft,mean_top_gap_strict,mean_top_gap_soft
100,0.04456156696160774,0.028571270995505094,0.891868131868132,0.8883516483516485,0.090000019967556,0.04303607493638992,0.037799994945526126,0.02005907416343689
250,0.02788004766527413,0.017377991955246,0.916043956043956,0.9164835164835164,0.06129995882511137,0.03107573539018631,0.03231999039649963,0.01902629256248474
500,0.019952961909686366,0.012972331982588363,0.9534065934065936,0.9384615384615386,0.06020003259181976,0.02198600023984909,0.0398799991607666,0.02255780339241028
1000,0.012687517721848202,0.008206203245358123,0.9670329670329672,0.9569230769230771,0.03599999994039535,0.01880195289850235,0.04555999517440796,0.024913355112075805
2000,0.009003637448046914,0.005784438591327495,0.9837362637362638,0.9736263736263737,0.019887489080429074,0.012015879154205319,0.04639999508857727,0.02569653630256653
3000,0.006297008497496814,0.004061360184475285,0.98989010989011,0.9824175824175825,0.023024992644786836,0.009973281621932981,0.04570666670799255,0.02519264578819275
5000,0.003939079735247101,0.0024343365266976716,0.9956043956043956,0.9934065934065934,0.01571500152349472,0.006017674505710599,0.04575600266456604,0.025618125200271607
7523,0.0,0.0,1.0,1.0,0.0,0.0,0.04625815153121948,0.025767505168914795
